"year","month","day","sex","age","body_length"
2019,4,29,"m",10,124
2019,4,28,"f",12,106
2019,4,28,"f",13,115
2019,4,28,"f",5,100
2019,4,28,"m",2,90
2019,4,28,"f",0,63
2019,4,28,"m",0,72
2019,4,20,"m",16,123
2019,4,29,"f",0,106
2019,4,5,"m",0,80
2019,4,5,"f",0,77
2019,4,28,"m",0,100
2019,4,29,"f",7,100
2019,4,21,"m",11,150
2019,4,28,"m",0,105
2019,4,21,"f",18,145
2019,4,25,"f",1,100
2019,4,30,"m",0,80
2019,4,27,"f",1,90
2019,4,25,"f",1,100
2019,4,27,"m",3,120
2019,4,29,"m",7,125
2019,4,30,"f",NA,70
2019,4,30,"m",1,90
2019,4,30,"f",0,70
2019,4,27,"m",2,99
2019,4,27,"f",15,102
2019,4,19,"f",15,150
2019,4,19,"m",2,120
2019,4,25,"f",8,148
2019,4,16,"f",2,105
2019,4,17,"m",6,118
2019,4,16,"m",12,130
2019,4,16,"m",0,95
2019,4,16,"f",15,150
2019,4,17,"f",16,130
2019,4,16,"m",17,140
2019,4,16,"f",8,105
2019,4,16,"f",16,141
2019,4,17,"f",10,140
2019,4,16,"f",17,150
2019,4,18,"m",0,70
2019,4,18,"f",0,98
2019,4,18,"f",7,112
2019,4,17,"m",6,125
2019,4,16,"m",18,140
2019,4,18,"f",17,140
2019,4,17,"m",16,134
2019,4,16,"f",15,148
2019,4,16,"m",8,130
2019,4,16,"f",2,105
2019,4,17,"m",12,140
2019,4,17,"f",10,110
2019,4,16,"f",10,130
2019,4,16,"f",9,125
2019,4,16,"f",14,140
2019,4,16,"f",3,145
2019,4,16,"m",15,145
2019,4,16,"m",10,160
2019,4,16,"f",12,127
2019,4,16,"m",14,107
2019,4,16,"f",0,80
2019,4,17,"m",7,125
2019,4,16,"f",3,148
2019,4,16,"f",7,130
2019,5,6,"f",0,60
2019,5,5,"f",7,100
2019,5,5,"m",16,130
2019,5,4,"m",19,130
2019,5,4,"m",11,130
2019,5,1,"f",15,135
2019,5,4,"f",7,148
2019,5,10,"m",2,98
2019,5,10,"m",0,62
2019,5,10,"m",1,95
2019,5,4,"f",0,95
2019,5,4,"m",0,75
2019,5,4,"f",0,90
2019,5,4,"f",1,110
2019,5,4,"f",6,150
2019,5,4,"m",3,120
2019,5,4,"f",5,150
2019,5,4,"f",0,80
2019,5,5,"f",1,100
2019,5,30,"f",0,60
2019,5,6,"f",0,65
2019,5,6,"f",0,75
2019,5,6,"f",0,75
2019,5,6,"m",0,72
2019,5,6,"m",0,NA
2019,5,21,"m",17,150
2019,5,15,"f",1,100
2019,5,25,"f",6,130
2019,5,11,"f",7,98
2019,5,11,"f",0,97
2019,5,11,"m",12,120
2019,5,11,"m",1,94
2019,5,11,"m",1,87
2019,5,11,"m",2,95
2020,4,30,"m",24,133
2020,4,18,"m",16,138
2020,4,19,"f",7,132
2020,4,18,"f",3,172
2020,4,19,"f",10,129
2020,4,19,"m",7,127
2020,4,21,"f",14,160
2020,4,19,"f",11,134
2020,4,23,"m",0,97
2020,4,22,"m",6,142
2020,4,22,"m",0,82
2020,4,22,"m",7,130
2020,4,22,"f",8,154
2020,4,22,"m",7,130
2020,4,22,"m",NA,133
2020,4,23,"f",5,122
2020,4,23,"m",1,120
2020,4,23,"f",0,84
2020,4,16,"m",11,155
2020,4,21,"f",0,75
2020,4,21,"m",0,80
2020,4,21,"f",19,140
2020,4,19,"f",0,78
2020,4,22,"m",0,72
2020,4,26,"m",0,70
2020,4,26,"f",17,114
2020,4,16,"f",0,80
2020,4,26,"m",0,74
2020,4,19,"f",2,107
2020,4,22,"m",0,100
2020,4,22,"m",0,87
2020,4,22,"f",8,134
2020,4,22,"m",16,148
2020,4,22,"f",NA,150
2020,4,22,"m",0,106
2020,4,22,"f",0,90
2020,4,22,"f",2,118
2020,4,22,"f",10,140
2020,4,21,"m",3,115
2020,4,21,"m",0,75
2020,4,22,"f",11,130
2020,4,22,"f",NA,140
2020,4,22,"f",NA,135
2020,4,16,"f",NA,150
2020,4,16,"m",13,155
2020,4,21,"m",0,86
2020,4,22,"f",13,135
