date,year,sampled,sex,body_length
9/27/22,2022,0,m,145
9/27/22,2022,0,f,140
9/27/22,2022,0,,
9/27/22,2022,0,,
9/27/22,2022,0,,
9/27/22,2022,0,,
9/27/22,2022,0,,
9/27/22,2022,0,,
10/1/22,2022,1,f,140
10/1/22,2022,1,m,157
10/4/22,2022,0,,
10/4/22,2022,0,,
10/14/22,2022,0,m,157
10/14/22,2022,0,f,145
10/14/22,2022,1,m,138
10/14/22,2022,1,m,143
10/14/22,2022,1,m,126
10/14/22,2022,0,,
10/14/22,2022,1,f,127
10/14/22,2022,1,f,128
10/14/22,2022,1,m,145
10/14/22,2022,1,f,133
10/14/22,2022,1,f,153
10/18/22,2022,1,f,130
10/18/22,2022,1,f,160
10/20/22,2022,1,m,143
10/20/22,2022,1,m,123
10/24/22,2022,1,m,143
12/21/22,2022,0,,
9/4/22,2022,1,f,90
9/1/22,2022,1,m,90
9/1/22,2022,1,m,85
9/4/22,2022,1,f,95
10/14/22,2022,1,f,145
10/14/22,2022,1,m,157
10/9/21,2021,,,
